lat,lon,pga_475_median,pga_475_84,pga_475_mean,pga_975_median,pga_975_84,pga_975_mean,pga_2475_median,pga_2475_84,pga_2475_mean
47.8,12.6,0.3254,0.5234,0.3809,0.4757,0.769,0.5711,0.7783,1.2128,0.9216
47.8,12.7,0.3405,0.549,0.3935,0.5119,0.8258,0.5971,0.8402,1.3073,0.982
47.8,12.8,0.3542,0.5971,0.407,0.5315,0.8868,0.6278,0.8921,1.42,1.0513
47.8,12.9,0.3683,0.6029,0.4181,0.5586,0.9106,0.6504,0.9351,1.5003,1.0972
47.8,13,0.3747,0.6464,0.4345,0.5825,0.9856,0.6824,1.004,1.6138,1.1572
47.9,7.4,0.7062,1.0456,0.7748,1.0583,1.5286,1.174,1.6888,2.4593,1.9244
47.9,7.5,0.7347,1.0869,0.8134,1.0956,1.6053,1.2235,1.7483,2.5607,2.0027
47.9,7.6,0.7347,1.0894,0.819,1.0956,1.6266,1.2276,1.7482,2.5763,2.0038
47.9,7.7,0.6775,1.0667,0.787,1.0391,1.5755,1.1789,1.6394,2.4972,1.9146
47.9,7.8,0.6228,0.9697,0.7268,0.9472,1.4211,1.088,1.5219,2.2742,1.7468
47.9,7.9,0.5491,0.861,0.6551,0.8411,1.2585,0.98,1.3717,2.0075,1.5489
47.9,8,0.5234,0.7954,0.5986,0.777,1.1653,0.8943,1.258,1.8187,1.42
47.9,8.1,0.4837,0.7645,0.5641,0.7468,1.1274,0.8461,1.2125,1.7596,1.3518
47.9,8.2,0.4636,0.7348,0.5403,0.716,1.0908,0.8132,1.1386,1.7024,1.3058
47.9,8.3,0.4635,0.7063,0.5248,0.6905,1.0554,0.7897,1.1032,1.6472,1.2689
47.9,8.4,0.4443,0.7062,0.5188,0.6652,1.0553,0.779,1.0691,1.647,1.2485
47.9,8.5,0.4464,0.68,0.5184,0.6652,1.0212,0.7736,1.069,1.5937,1.2313
47.9,8.6,0.4556,0.7062,0.5298,0.6899,1.0528,0.7872,1.0691,1.6102,1.2443
47.9,8.7,0.4663,0.7467,0.5476,0.6906,1.0865,0.8107,1.1263,1.6617,1.2731
47.9,8.8,0.485,0.7644,0.5683,0.742,1.1156,0.8389,1.1668,1.6752,1.3096
47.9,8.9,0.5234,0.7852,0.5873,0.769,1.1213,0.8659,1.1933,1.715,1.3462
47.9,9,0.5264,0.805,0.5997,0.7968,1.1571,0.8845,1.2282,1.7698,1.3721
